Tên	STT	Loại	Dân số (người)	Diện tích (km2)	Mật độ (người/km2)	Sáp nhập toàn bộ từ	Sáp nhập một phần từ	Giáp ranh	Full Address 1	Latitude 1	Longitude 1	SĐT	AFF+MAF  hiện tại	AFF+MAF  2030	CN hiện có	CN cần có	SLCN	Thị trường thừa/ thiếu	Mật độ Aff+Maf	TỈNH	GHÉP ĐVHC
Tân Hải	123	Phường	30297	52	584	Phường Tân Hoà (TP. Phú Mỹ), Phường Tân Hải (TP. Phú Mỹ)		phường Long Hương, phường Tân Phước, xã Châu Pha và xã Long Sơn	QL 51, thôn Láng Cát, phường Tân Hải	10,499955	107,102612	2543890517	16.920	22.257	0	1	(1)	Thiếu CN	325	Thành phố Hồ Chí Minh	Tân HảiThành phố Hồ Chí Minh
Châu Pha	51	Xã	25438	66	388	Xã Tóc Tiên (TP. Phú Mỹ), Xã Châu Pha (TP. Phú Mỹ)		phường Long Hương, phường Tân Hải, phường Tân Phước, phường Phú Mỹ, phường Tân Thành, xã Ngãi Giao và xã Nghĩa Thành	Thôn Tân Lễ B, xã Châu pha	10,573543	107,160176	2543897552	15.299	20.124	0	1	(1)	Thiếu CN	232	Thành phố Hồ Chí Minh	Châu PhaThành phố Hồ Chí Minh
Tân Thành	137	Phường	33943	62	551	Phường Hắc Dịch (TP. Phú Mỹ), Xã Sông Xoài (TP. Phú Mỹ)		phường Phú Mỹ, xã Châu Pha, xã Ngãi Giao, xã Kim Long, xã Châu Đức và tỉnh Đồng Nai	Số 152, đường Bình Giã, phường Tân Thành	10,641694	107,121685	2543898433	18.956	24.934	0	1	(1)	Thiếu CN	306	Thành phố Hồ Chí Minh	Tân ThànhThành phố Hồ Chí Minh
Tân Phước	131	Phường	29363	84	351	Phường Tân Phước (TP. Phú Mỹ), Phường Phước Hoà (TP. Phú Mỹ)		phường Phú Mỹ, phường Tân Hải, xã Châu Pha, xã Thạnh An và Biển Đông	Số 2102, Đường Độc lập, phường Tân Phước	10,564596	107,059288	2543936003	16.399	21.570	0	1	(1)	Thiếu CN	195	Thành phố Hồ Chí Minh	Tân PhướcThành phố Hồ Chí Minh
Hòa Lợi	74	Phường	79694	34	2373	Phường Tân Định (TP. Bến Cát), Phường Hoà Lợi (TP. Bến Cát)		phường Vĩnh Tân, phường Bình Dương, phường Thới Hoà, phường Phú An, phường Chánh Hiệp và phường Chánh Phú Hoà	Số 353, đường Nguyễn Văn Thành, phường Hòa Lợi	11,101557	106,663144	2743560367	46.037	60.065	0	1	(1)	Thiếu CN	1354	Thành phố Hồ Chí Minh	Hòa LợiThành phố Hồ Chí Minh
Tân Khánh	127	Phường	126393	38	3306	Xã Thạnh Hội (TP. Tân Uyên), Phường Thạnh Phước (TP. Tân Uyên), Phường Tân Phước Khánh (TP. Tân Uyên), Phường Tân Vĩnh Hiệp (TP. Tân Uyên)	Phường Thái Hoà (TP. Tân Uyên)	phường Tân Uyên, phường Bình Dương, phường Phú Lợi, phường Thuận Giao, phường Tân Đông Hiệp, phường An Phú, phường Tân Hiệp và tỉnh Đồng Nai	Đường ĐT746, phường Tân Khánh	11,003468	106,721189	2743612344	21.054	27.552	0	1	(1)	Thiếu CN	554	Thành phố Hồ Chí Minh	Tân KhánhThành phố Hồ Chí Minh
Bắc Tân Uyên	14	Xã	27964	144	195	Xã Đất Cuốc (H. Bắc Tân Uyên), Xã Tân Định (H. Bắc Tân Uyên), Thị trấn Tân Thành (H. Bắc Tân Uyên)		xã Thường Tân, xã Phước Hoà, xã Phú Giáo, phường Tân Uyên, phường Bình Cơ và tỉnh Đồng Nai	Khu phố 5, xã Bắc Tân Uyên	11,127367	106,851528	2743620260	8.395	11.017	0	0	0	Đủ CN	58	Thành phố Hồ Chí Minh	Bắc Tân UyênThành phố Hồ Chí Minh
Bình Cơ	23	Phường	64601	74	877	Xã Bình Mỹ (H. Bắc Tân Uyên), Phường Hội Nghĩa (TP. Tân Uyên)		phường Tân Uyên, phường Vĩnh Tân, phường Tân Hiệp, xã Bắc Tân Uyên, xã Phước Hoà	Đường ĐT747A, phường Bình Cơ	11,108208	106,759920	2743648464	10.761	14.082	0	0	0	Đủ CN	145	Thành phố Hồ Chí Minh	Bình CơThành phố Hồ Chí Minh
Tân Uyên	140	Phường	73032	95	771	Phường Uyên Hưng (TP. Tân Uyên), Xã Bạch Đằng (TP. Tân Uyên), Xã Tân Lập (H. Bắc Tân Uyên)	Xã Tân Mỹ (H. Bắc Tân Uyên)	phường Tân Khánh, phường Tân Hiệp, phường Bình Cơ, xã Bắc Tân Uyên, xã Thường Tân và tỉnh Đồng Nai	Khu phố 1, phường Tân Uyên	11,061098	106,798854	2743686970	12.165	15.920	0	0	0	Đủ CN	128	Thành phố Hồ Chí Minh	Tân UyênThành phố Hồ Chí Minh
Thuận An	154	Phường	64689	16	4015	Phường Hưng Định (TP. Thuận An), Phường An Thạnh (TP. Thuận An), Xã An Sơn (TP. Thuận An)		phường Thuận Giao, phường Lái Thiêu, phường Phú Lợi, phường Thủ Dầu Một, xã Bình Mỹ và xã Đông Thạnh	Số 289, đường Hưng Định 31, phường Thuận An	10,939813	106,691515	2743746374	13.860	18.172	0	1	(1)	Thiếu CN	866	Thành phố Hồ Chí Minh	Thuận AnThành phố Hồ Chí Minh
